stock_name,direction,trend,median_return,current_return,current_price,forecasted_price
A-1 Limited,up,at par,25.5,,,442.28999507860544
ABB India Limited,up,at par,28.0,-4.0,4694.5,5688.592722689076
AWL Agri Business Limited,down,premium,-15.0,-15.0,209.06,176.94261524822718
Abbott India Limited,up,at par,24.0,-7.0,27780.0,30747.217008403368
Action Construction Equipment Limited,up,at par,39.0,-24.0,791.35,1059.379879551821
Adani Enterprises Limited,up,at par,70.0,-11.0,1864.2,3110.28230672269
Adani Ports and Special Economic Zone Limited,up,premium,5.0,23.0,1308.4,1290.8496330532214
Aditya Birla Fashion and Retail Limited,up,discount,-2.0,-75.0,61.64,237.81030252100848
Advani Hotels and Resorts (India) Limited,up,premium,4.0,13.0,62.14,60.17949299719889
Aegis Logistics Limited,down,at par,-13.0,-13.0,651.35,713.3759047619046
Affle 3i Limited,up,at par,15.0,13.0,1579.8,1839.992863802863
Ahluwalia Contracts (India) Limited,up,at par,18.0,29.0,830.95,964.492004201681
Ajanta Pharma Limited,up,premium,10.0,10.0,2699.6,2335.3451876750696
Akzo Nobel India Limited,up,at par,19.0,-1.0,2938.6,2989.3891344537824
Alivus Life Sciences Limited,down,premium,0.0,0.0,883.5,857.6942307692303
Allcargo Logistics Limited,up,discount,7.0,-70.0,9.17,61.17746218487396
Allied Blenders and Distillers Limited,up,at par,45.0,45.0,448.7,593.8985964912279
Amara Raja Energy & Mobility Limited,up,at par,2.0,-14.0,831.2,1047.9600793650798
Amber Enterprises India Limited,up,at par,30.5,-1.0,5565.5,6008.994194587629
Ambuja Cements Limited,up,at par,11.5,,,383.9806534641258
Anand Rayons Limited,up,premium,1.0,0.0,176.15,69.72880597014925
Anant Raj Limited,up,premium,33.0,8.0,501.4,449.39068347338946
Antony Waste Handling Cell Limited,up,at par,6.0,8.0,570.75,633.1016393442626
Apar Industries Limited,up,premium,22.0,22.0,7033.0,6743.680380952382
Apollo Hospitals Enterprise Limited,up,at par,13.0,13.0,6803.0,7069.8683963585445
Apollo Tyres Limited,up,premium,35.0,35.0,499.2,448.53950420168076
Artemis Medicare Services Limited,up,at par,52.0,-2.0,225.9,283.8798401826485
