Years Back,lookup_date,Closing price,ROI(in pct),stock_name
Latest,2026-01-01,,-,A-1 Limited
1,2025-01-01,408.82,16,A-1 Limited
2,2024-02-01,352.41,9,A-1 Limited
3,2023-02-01,324.12,50,A-1 Limited
4,2022-02-01,215.7,215,A-1 Limited
5,2021-02-01,68.47,35,A-1 Limited
6,2020-02-01,50.74,-1,A-1 Limited
7,2019-02-01,51.26,-,A-1 Limited
Latest,2026-01-01,4694.5,-4,ABB India Limited
1,2025-02-01,4896.1,-9,ABB India Limited
2,2024-02-01,5375.05,70,ABB India Limited
3,2023-02-01,3166.89,49,ABB India Limited
4,2022-02-01,2120.29,42,ABB India Limited
5,2021-02-01,1494.97,30,ABB India Limited
6,2020-02-01,1153.12,7,ABB India Limited
7,2019-02-01,1080.19,-20,ABB India Limited
8,2018-02-01,1343.55,28,ABB India Limited
9,2017-02-01,1047.73,-,ABB India Limited
Latest,2026-01-01,209.06,-15,AWL Agri Business Limited
1,2025-02-01,246.15,-36,AWL Agri Business Limited
2,2024-02-01,381.65,6,AWL Agri Business Limited
3,2023-02-01,361.65,-,AWL Agri Business Limited
Latest,2026-01-01,27780.0,-7,Abbott India Limited
1,2025-02-01,29978.13,8,Abbott India Limited
2,2024-02-01,27644.33,43,Abbott India Limited
3,2023-02-01,19379.28,17,Abbott India Limited
4,2022-02-01,16609.04,24,Abbott India Limited
5,2021-02-01,13398.8,-7,Abbott India Limited
6,2020-02-01,14422.34,113,Abbott India Limited
7,2019-02-01,6775.07,31,Abbott India Limited
8,2018-02-01,5191.29,30,Abbott India Limited
9,2017-02-01,3996.56,-,Abbott India Limited
Latest,2026-01-01,791.35,-24,Action Construction Equipment Limited
1,2025-02-01,1048.06,-17,Action Construction Equipment Limited
2,2024-02-01,1259.46,268,Action Construction Equipment Limited
3,2023-02-01,342.59,59,Action Construction Equipment Limited
4,2022-02-01,216.04,39,Action Construction Equipment Limited
5,2021-02-01,154.88,126,Action Construction Equipment Limited
6,2020-02-01,68.55,-12,Action Construction Equipment Limited
